Alcohol,Marijuana,Heroin,Cocaine,Age,Sex,Race,State,Highest_Year_Education_Before_Prison
2,0,0,0,78,Male, Black (NH),FL,11
2,0,0,0,44,Male, White (NH),CO,14
2,0,0,0,50,Male, Black (NH),FL,10
0,0,0,0,23,Male, 2+ Races (NH),MI,12
2,0,0,0,49,Female, American Indian/Alaska Native (NH),FL,10
1,1,0,1,36,Male, 2+ Races (NH),NC,12
2,0,0,0,23,Male, Hispanic,MI,9
2,1,0,2,42,Male, White (NH),MS,7
2,2,2,2,43,Male, White (NH),GA,12
2,0,0,0,56,Male, White (NH),NC,13
0,0,0,0,39,Female, White (NH),OH,8
1,0,0,0,37,Male, Black (NH),TX,10
2,0,0,0,24,Female, White (NH),AR,14
1,0,0,0,55,Male, 2+ Races (NH),MO,15
1,0,0,0,23,Male, Black (NH),FL,6
2,1,0,2,29,Male, White (NH),OK,9
2,0,0,0,32,Male, White (NH),TX,13
1,0,0,0,52,Male, White (NH),WI,12
2,2,0,0,36,Female, White (NH),KY,11
1,1,2,1,42,Male, Black (NH),MD,12
2,0,0,0,30,Male, 2+ Races (NH),TX,12
1,0,0,0,46,Male, Asian/Native Hawaiian/Other Pacific Islander (NH),LA,7
2,0,0,0,22,Male, Black (NH),CA,12
2,2,0,2,51,Male, 2+ Races (NH),WV,10
2,0,0,0,39,Female, 2+ Races (NH),VA,9
2,0,0,0,40,Male, Hispanic,PA,9
2,2,0,1,45,Male, Black (NH),OH,12
1,1,0,1,32,Male, Hispanic,CA,12
2,0,0,0,37,Male, White (NH),GA,9
2,0,0,0,49,Male, Hispanic,FL,12
1,2,0,1,37,Male, Black (NH),AL,7
2,0,0,0,49,Male, 2+ Races (NH),MI,10
0,0,0,0,54,Male, White (NH),OK,99
2,0,0,0,32,Male, Hispanic,-1,6
1,1,0,0,20,Male, Black (NH),IL,10
2,0,0,0,50,Male, Black (NH),TX,15
2,2,0,2,30,Female, White (NH),WA,11
2,1,0,0,24,Male, Black (NH),MO,12
2,0,0,0,52,Male, White (NH),NY,12
0,0,0,0,42,Male, 2+ Races (NH),AR,11
2,1,0,0,20,Male, Black (NH),AL,10
2,2,2,2,29,Female, 2+ Races (NH),WV,13
1,2,0,1,35,Male, White (NH),NC,10
2,0,0,0,36,Female, White (NH),MN,13
2,0,0,0,62,Male, White (NH),OK,14
1,0,0,0,30,Male, Uncategorized - Missing,NC,9
2,1,0,0,28,Male, Black (NH),GA,11
1,1,2,2,45,Male, White (NH),CA,13
2,2,2,2,33,Male, White (NH),PA,10
2,0,0,0,39,Male, Black (NH),OH,10
0,0,0,0,23,Male, Hispanic,NY,11
2,0,0,0,54,Female, White (NH),OK,12
2,0,0,0,61,Male, 2+ Races (NH),SC,10
0,2,0,0,48,Male, 2+ Races (NH),NY,8
2,0,0,0,27,Male, Black (NH),GA,12
2,0,0,0,32,Male, White (NH),OK,11
0,2,2,2,34,Male, White (NH),TX,8
1,1,0,0,38,Male, Black (NH),GA,8
2,2,2,1,39,Male, Hispanic,NM,10
1,0,0,0,48,Female, White (NH),PA,12
1,1,0,0,38,Female, White (NH),KY,9
1,1,0,0,32,Male, 2+ Races (NH),OH,10
2,0,0,0,54,Male, Asian/Native Hawaiian/Other Pacific Islander (NH),NV,14
2,0,0,0,66,Male, Hispanic,-1,1
2,0,0,0,23,Male, White (NH),OH,10
2,0,0,0,37,Male, 2+ Races (NH),MD,12
2,2,0,2,40,Male, White (NH),TX,8
2,0,0,0,72,Male, White (NH),AZ,16
1,0,0,0,54,Male, White (NH),WA,12
2,0,0,0,42,Male, White (NH),TN,7
2,0,0,0,37,Male, Black (NH),GA,9
2,2,0,2,27,Male, White (NH),OK,13
2,0,0,0,37,Male, Hispanic,PA,8
2,0,0,0,48,Male, Hispanic,NV,12
1,1,0,0,55,Female, White (NH),MD,9
2,1,1,2,26,Female, White (NH),NV,8
2,0,0,0,37,Male, 2+ Races (NH),OR,12
2,0,0,0,22,Male, Black (NH),FL,9
0,0,0,0,30,Male, Hispanic,TX,11
2,0,0,0,39,Male, Hispanic,GA,16
2,1,0,0,57,Male, 2+ Races (NH),TX,12
1,1,0,0,33,Male, 2+ Races (NH),NY,11
0,2,2,2,44,Male, White (NH),TN,10
2,1,0,2,21,Male, Hispanic,AZ,11
1,0,0,0,44,Male, White (NH),PA,8
2,2,2,2,40,Male, Black (NH),TN,11
-1,2,2,2,23,Male, White (NH),TX,7
2,1,0,2,29,Male, 2+ Races (NH),AL,8
2,0,0,0,33,Male, Hispanic,CA,18
1,1,2,1,36,Male, White (NH),NY,10
0,0,0,0,46,Male, Hispanic,TX,6
1,2,2,2,26,Male, White (NH),CA,11
0,2,0,0,49,Male, Black (NH),MS,12
1,0,0,0,55,Male, White (NH),IL,13
1,1,0,0,27,Male, Black (NH),FL,14
1,1,0,2,56,Male, White (NH),GA,11
2,0,0,0,61,Female, White (NH),KY,8
1,0,0,0,24,Male, Black (NH),IA,7
1,1,0,1,60,Male, Black (NH),FL,10
2,0,0,0,49,Male, Asian/Native Hawaiian/Other Pacific Islander (NH),PA,98
1,1,0,0,25,Female, Black (NH),IL,12
1,2,0,0,27,Male, Black (NH),NY,9
1,1,0,0,20,Male, Black (NH),TX,11
1,0,0,0,33,Male, White (NH),MA,12
0,1,0,0,44,Male, Black (NH),LA,8
-1,0,0,0,32,Male, Black (NH),NC,10
1,1,0,0,39,Male, Black (NH),NY,8
1,1,0,0,26,Male, Black (NH),VA,11
2,0,0,0,49,Male, Hispanic,CA,11
0,0,0,0,49,Male, Black (NH),CA,11
2,2,0,2,53,Female, White (NH),WI,12
2,0,0,0,31,Female, White (NH),OH,10
1,0,0,0,36,Male, Uncategorized - Missing,FL,9
2,2,2,0,19,Male, 2+ Races (NH),MO,7
1,0,0,0,36,Male, Hispanic,FL,5
2,0,0,0,41,Male, Hispanic,TX,8
2,0,0,0,35,Female, Hispanic,CA,11
2,0,0,0,25,Male, Hispanic,CA,10
2,1,2,2,32,Male, White (NH),PA,10
2,0,0,0,40,Male, Black (NH),CA,9
2,0,0,0,51,Female, White (NH),MI,13
2,0,0,0,30,Female, Hispanic,TX,9
2,0,0,0,27,Male, Black (NH),GA,8
2,2,0,2,34,Female, American Indian/Alaska Native (NH),SD,13
1,1,2,2,51,Male, White (NH),AK,10
0,0,0,0,57,Female, White (NH),AL,16
1,0,0,0,24,Male, Hispanic,PR,12
1,2,0,2,37,Female, White (NH),GA,3
2,2,0,2,29,Female, White (NH),IN,12
1,1,0,1,56,Female, 2+ Races (NH),FL,12
2,0,0,0,19,Male, Black (NH),TX,11
1,2,2,0,65,Male, Black (NH),MI,11
1,1,1,1,64,Male, Black (NH),DC,10
1,1,0,2,30,Male, Black (NH),VA,13
2,0,0,0,21,Male, White (NH),OR,12
2,1,0,2,25,Male, Asian/Native Hawaiian/Other Pacific Islander (NH),HI,12
2,0,0,0,27,Male, Hispanic,TX,9
1,0,0,0,20,Male, Uncategorized - Missing,FL,11
1,0,0,0,32,Male, 2+ Races (NH),FL,10
2,2,1,2,27,Male, White (NH),PA,12
2,0,0,0,42,Male, Black (NH),CA,11
2,0,0,0,80,Male, Black (NH),CA,14
0,0,0,0,52,Female, Black (NH),MS,16
2,0,0,0,25,Male, White (NH),MO,9
2,2,0,1,54,Male, 2+ Races (NH),MI,13
2,0,0,0,35,Female, White (NH),FL,16
1,2,2,2,49,Male, White (NH),NY,10
2,2,0,2,26,Female, White (NH),TX,9
2,0,0,0,29,Male, Hispanic,CA,15
2,2,1,1,36,Female, White (NH),CT,11
2,2,2,0,29,Female, White (NH),VA,10
2,0,0,0,27,Female, Black (NH),AL,12
1,1,0,2,46,Male, Black (NH),MO,12
2,2,0,2,30,Male, Hispanic,FL,8
2,0,0,0,29,Male, White (NH),WV,12
1,1,0,0,40,Female, Black (NH),GA,8
2,0,0,0,32,Male, White (NH),CA,9
1,0,0,0,47,Male, Hispanic,OR,12
2,0,0,0,44,Female, White (NH),CA,6
1,0,0,0,39,Female, White (NH),MA,11
1,0,0,0,43,Male, Black (NH),TN,16
2,0,0,0,38,Male, Hispanic,MD,15
1,0,0,0,57,Male, White (NH),TN,9
2,1,0,0,18,Male, Black (NH),MD,12
2,0,0,0,37,Female, White (NH),PA,14
2,2,2,2,27,Male, White (NH),WA,10
2,0,0,0,30,Male, Black (NH),OH,7
2,1,1,2,26,Male, White (NH),IN,9
2,0,0,0,27,Male, White (NH),OH,11
2,0,0,0,30,Male, White (NH),TX,14
0,0,0,0,35,Male, Hispanic,TX,7
2,0,0,0,33,Male, Black (NH),TX,16
0,0,0,0,28,Male, Black (NH),MO,10
1,0,0,0,27,Male, Hispanic,TX,11
2,1,0,0,19,Male, 2+ Races (NH),MO,12
1,1,0,1,59,Male, Hispanic,NY,9
1,1,0,1,22,Female, White (NH),TX,12
1,0,0,0,26,Female, White (NH),MN,12
2,0,0,0,23,Male, Black (NH),CA,13
0,0,0,0,52,Male, Black (NH),IL,9
2,0,0,0,67,Male, White (NH),MO,18
2,1,0,0,23,Male, Black (NH),TN,9
2,2,1,2,30,Male, White (NH),IL,11
0,0,0,0,20,Male, White (NH),NC,10
2,0,0,0,43,Male, 2+ Races (NH),CA,11
2,0,0,0,37,Male, White (NH),PA,10
1,0,0,0,38,Male, Black (NH),MO,8
1,0,0,0,34,Male, Black (NH),FL,10
0,0,0,0,53,Male, 2+ Races (NH),SC,9
2,0,0,0,51,Male, Black (NH),FL,15
1,0,0,0,49,Male, White (NH),MS,17
2,2,0,2,40,Female, White (NH),SC,12
1,2,2,1,41,Female, Black (NH),IN,12
2,1,0,2,30,Male, Hispanic,-1,5
2,0,0,0,28,Male, Hispanic,TX,9
2,2,1,2,39,Female, White (NH),MO,10
2,0,0,0,33,Female, 2+ Races (NH),GA,11
0,0,0,0,20,Male, Black (NH),FL,10
1,0,0,0,55,Male, Hispanic,TX,99
1,0,0,0,55,Male, 2+ Races (NH),OH,8
2,2,2,2,39,Male, White (NH),ME,11
2,0,0,0,57,Female, Hispanic,FL,16
2,0,0,0,35,Female, White (NH),TN,12
2,0,0,0,33,Male, Black (NH),TN,11
2,1,0,0,26,Male, Hispanic,PA,10
1,2,0,2,37,Male, Hispanic,TX,9
0,0,0,0,32,Male, Hispanic,CA,11
-2,0,0,0,68,Male, Black (NH),GA,10
1,2,0,2,31,Male, Hispanic,FL,11
2,2,0,2,25,Female, White (NH),AR,9
2,1,2,1,60,Male, Black (NH),PA,9
2,0,0,0,51,Male, 2+ Races (NH),GA,8
0,0,0,0,30,Female, Black (NH),NC,9
1,1,0,0,35,Male, Black (NH),MI,11
2,0,0,0,52,Male, White (NH),PA,11
1,0,0,0,59,Male, Hispanic,CA,8
1,2,0,1,32,Male, Black (NH),FL,10
2,0,0,0,44,Male, White (NH),PA,14
2,0,0,0,30,Male, Hispanic,-1,2
1,2,2,2,30,Female, White (NH),NY,11
2,0,0,0,51,Male, White (NH),TX,11
2,2,0,2,45,Male, White (NH),MN,14
1,0,0,0,39,Male, Hispanic,TX,12
0,0,0,0,35,Female, White (NH),MI,10
2,0,0,0,55,Male, White (NH),NM,12
2,1,0,2,24,Male, Black (NH),OH,10
1,0,0,2,46,Male, White (NH),PA,11
1,0,0,0,42,Male, American Indian/Alaska Native (NH),SD,8
0,0,0,0,35,Male, Black (NH),VA,10
1,1,0,0,28,Male, Black (NH),SC,12
0,0,0,0,54,Male, Hispanic,-2,99
0,0,0,0,19,Male, Hispanic,DC,11
2,0,0,0,54,Male, Black (NH),FL,10
2,2,1,2,62,Male, Hispanic,PA,6
1,1,1,2,31,Male, White (NH),NV,10
1,0,0,0,34,Male, Hispanic,AZ,15
1,1,0,2,25,Male, Hispanic,CA,8
2,0,0,0,68,Male, Black (NH),PA,15
2,0,0,0,48,Male, White (NH),GA,10
1,0,0,0,43,Female, Hispanic,FL,12
2,1,0,1,23,Male, Hispanic,NY,13
2,2,0,2,29,Female, 2+ Races (NH),NE,6
1,2,2,1,39,Female, White (NH),PA,12
2,1,0,2,29,Male, Black (NH),TX,9
2,1,0,2,39,Female, Hispanic,AZ,11
1,2,0,2,33,Male, White (NH),AZ,13
1,2,0,1,47,Male, Hispanic,WA,6
2,2,2,2,33,Male, White (NH),IA,9
2,2,0,2,32,Male, Hispanic,NM,11
1,0,0,0,28,Male, Hispanic,TX,12
1,0,0,0,55,Male, Hispanic,CA,98
2,2,2,2,41,Male, White (NH),FL,10
2,1,0,0,35,Male, Black (NH),PA,8
2,1,0,0,30,Male, Black (NH),TN,11
1,0,0,0,23,Female, Hispanic,MA,10
2,2,1,1,39,Female, White (NH),MI,12
1,1,0,2,52,Male, 2+ Races (NH),DC,7
2,1,2,2,33,Male, Hispanic,TX,10
1,0,0,0,31,Female, Black (NH),IL,13
1,1,0,0,45,Male, Hispanic,NY,11
2,2,0,2,43,Female, Hispanic,ID,12
1,0,0,0,40,Female, Asian/Native Hawaiian/Other Pacific Islander (NH),UT,12
2,1,0,2,22,Female, Black (NH),KY,12
2,0,0,0,22,Male, Black (NH),CT,8
2,2,1,2,23,Female, 2+ Races (NH),VA,8
2,0,0,0,41,Male, Hispanic,-1,5
1,1,1,0,46,Male, Black (NH),IL,12
0,0,0,0,38,Male, Black (NH),TX,7
1,2,0,2,52,Female, Hispanic,TX,8
0,0,0,0,55,Male, White (NH),OH,18
2,2,0,2,32,Male, White (NH),FL,8
1,1,0,1,31,Male, Black (NH),OK,14
2,0,0,0,34,Male, Black (NH),MI,8
2,0,0,0,55,Male, White (NH),OH,12
1,1,1,1,29,Male, White (NH),TX,12
2,2,0,2,35,Female, Hispanic,CA,6
1,0,0,0,48,Male, White (NH),TN,10
0,0,0,0,34,Male, Black (NH),SC,9
0,2,0,2,41,Male, Hispanic,CA,9
1,0,0,0,51,Female, White (NH),IL,9
1,2,2,2,28,Male, White (NH),PA,11
1,0,0,0,44,Female, 2+ Races (NH),AL,13
1,0,0,0,31,Male, Black (NH),MA,11
2,0,0,0,20,Male, Uncategorized - Missing,NV,9
2,0,0,0,26,Male, Hispanic,NV,13
1,1,0,0,47,Male, Black (NH),TX,9
2,0,0,0,64,Male, White (NH),FL,12
2,1,0,0,24,Male, Hispanic,TX,9
2,2,1,2,56,Male, Hispanic,AZ,9
1,1,0,0,24,Male, Black (NH),NY,10
2,0,0,0,32,Male, Hispanic,CT,11
1,0,0,0,63,Male, 2+ Races (NH),WV,12
2,2,1,2,33,Female, White (NH),OH,13
1,1,0,2,43,Male, Hispanic,CT,8
1,0,0,0,61,Male, Black (NH),SC,10
2,0,0,0,30,Male, White (NH),GA,8
2,0,0,0,24,Male, 2+ Races (NH),VA,12
2,1,0,0,23,Male, 2+ Races (NH),WI,10
0,0,0,0,26,Male, Hispanic,NV,8
2,0,0,0,44,Male, Hispanic,TX,10
2,1,0,0,29,Male, Hispanic,PA,12
2,0,0,0,30,Male, 2+ Races (NH),VT,16
2,0,0,0,53,Male, Hispanic,CA,18
2,0,0,0,41,Male, White (NH),KS,16
2,2,2,2,36,Female, White (NH),SC,12
2,0,0,0,61,Male, Hispanic,FL,12
2,2,0,1,55,Male, Black (NH),GA,14
2,0,0,0,46,Male, Hispanic,VA,11
2,2,1,2,39,Male, Hispanic,MA,9
2,0,0,0,64,Male, White (NH),TX,11
2,2,0,1,39,Female, Black (NH),LA,10
2,0,0,0,37,Male, White (NH),OR,13
1,2,2,2,35,Female, White (NH),VA,10
2,2,0,2,55,Female, White (NH),GA,8
2,0,0,0,53,Male, White (NH),SD,6
2,2,0,0,35,Male, 2+ Races (NH),CA,10
2,0,0,0,64,Male, White (NH),MS,14
2,1,0,2,41,Female, Black (NH),AR,14
0,0,0,0,29,Female, Black (NH),GA,9
1,2,0,2,54,Male, Black (NH),NC,7
2,0,0,0,42,Female, Hispanic,SD,12
1,0,0,0,46,Female, Black (NH),GA,12
2,2,1,2,34,Female, Hispanic,WA,7
2,2,0,0,28,Female, White (NH),MS,10
2,0,0,0,40,Male, Hispanic,CA,12
0,0,0,0,50,Female, Black (NH),GA,14
1,0,0,0,36,Female, Black (NH),IL,10
2,0,0,0,38,Male, 2+ Races (NH),NC,98
2,0,0,0,21,Male, Hispanic,MI,10
-1,0,0,0,48,Male, 2+ Races (NH),AR,12
2,1,1,2,24,Male, White (NH),IL,10
2,0,0,0,29,Male, Black (NH),IN,13
2,1,0,0,26,Female, White (NH),MN,13
2,0,0,0,56,Male, White (NH),CO,16
2,2,0,2,35,Male, Black (NH),WA,13
1,0,0,0,49,Male, Black (NH),FL,12
1,2,0,2,38,Female, Hispanic,CA,17
0,1,0,1,30,Male, Black (NH),IN,6
2,0,0,0,43,Female, White (NH),WI,13
1,0,0,0,29,Male, Black (NH),MI,11
2,0,0,0,46,Female, Hispanic,TN,18
2,0,0,0,41,Male, Hispanic,-1,10
2,0,0,0,68,Male, Hispanic,CA,6
2,0,0,0,31,Male, Hispanic,WA,98
0,0,0,0,47,Male, Hispanic,NY,12
0,0,0,0,45,Male, Hispanic,-1,99
2,2,0,2,40,Female, 2+ Races (NH),GA,6
2,0,0,0,46,Male, Black (NH),OH,12
2,0,0,0,41,Male, 2+ Races (NH),GA,11
2,2,2,0,21,Female, White (NH),NM,7
1,2,0,2,34,Female, Hispanic,AZ,10
2,0,0,0,42,Male, White (NH),AR,8
2,1,2,2,36,Female, White (NH),OH,12
1,1,0,0,28,Female, Black (NH),IL,10
2,1,0,0,24,Female, Black (NH),OH,12
2,0,0,0,49,Male, Hispanic,AZ,12
2,2,1,2,22,Male, 2+ Races (NH),HI,12
2,0,0,0,43,Male, Hispanic,CA,6
0,0,0,0,31,Male, Black (NH),PA,13
2,0,0,0,34,Male, Black (NH),AL,12
1,2,0,1,25,Male, 2+ Races (NH),FL,9
2,0,0,0,34,Male, Black (NH),TN,9
1,2,1,2,41,Female, 2+ Races (NH),OH,14
2,0,0,0,53,Male, 2+ Races (NH),AK,12
1,0,0,0,42,Male, Black (NH),MD,8
2,0,0,0,25,Male, Black (NH),FL,10
2,0,0,0,65,Female, White (NH),IA,12
2,0,0,0,69,Male, White (NH),NY,10
0,0,0,0,29,Male, White (NH),CA,12
0,0,0,0,20,Male, Hispanic,PA,12
2,0,0,0,60,Male, 2+ Races (NH),MA,11
2,2,0,2,33,Male, White (NH),IL,11
1,1,2,2,29,Male, Hispanic,PR,10
2,0,0,0,28,Male, Hispanic,IL,13
2,1,0,0,28,Male, 2+ Races (NH),AL,10
1,1,0,2,53,Male, Black (NH),IL,9
2,0,0,0,33,Male, Hispanic,OH,13
2,0,0,0,50,Male, Hispanic,AZ,6
2,2,2,1,33,Female, White (NH),TX,12
2,1,0,2,46,Male, Hispanic,IN,10
2,2,0,1,51,Female, Black (NH),GA,12
2,0,0,0,57,Male, Black (NH),AK,12
1,2,1,1,31,Male, White (NH),PA,9
2,2,0,2,29,Female, White (NH),GA,11
2,0,0,0,33,Male, Hispanic,CA,10
1,0,0,1,47,Male, Black (NH),GA,17
1,2,0,0,28,Male, Black (NH),TX,12
2,0,0,0,43,Female, White (NH),OK,10
2,0,0,0,46,Male, Black (NH),MD,11
2,0,0,0,29,Male, 2+ Races (NH),NY,9
2,0,0,0,50,Female, White (NH),WI,11
2,0,0,0,29,Male, 2+ Races (NH),PA,14
2,0,0,0,61,Male, Hispanic,TX,11
2,2,1,1,52,Male, Black (NH),CA,11
2,1,0,0,32,Male, White (NH),OH,12
0,0,0,0,54,Female, White (NH),LA,13
2,0,0,0,37,Male, Black (NH),NJ,10
1,2,2,2,23,Male, White (NH),FL,9
2,0,0,0,29,Female, White (NH),ID,10
2,0,0,0,24,Male, Black (NH),VA,12
1,0,0,0,45,Male, Black (NH),IN,11
2,0,0,0,36,Male, Black (NH),CA,11
2,0,0,0,36,Female, Black (NH),CT,12
1,0,0,0,55,Male, 2+ Races (NH),NV,10
2,0,0,0,53,Female, White (NH),IA,13
2,0,0,0,26,Male, Hispanic,PR,14
1,0,0,0,47,Female, Black (NH),VA,14
1,1,0,0,39,Male, Black (NH),MI,12
2,0,0,0,32,Female, Hispanic,MT,11
2,2,0,2,27,Male, Hispanic,WY,9
2,1,0,2,32,Male, White (NH),OK,10
2,1,0,0,33,Male, Black (NH),MO,8
1,0,0,0,42,Male, Hispanic,CA,12
0,0,0,0,29,Male, Black (NH),FL,9
2,0,0,0,30,Male, Hispanic,-1,6
2,0,0,0,33,Male, Black (NH),CA,9
2,1,0,2,26,Female, White (NH),TX,12
2,0,0,0,25,Male, 2+ Races (NH),NY,8
1,2,0,1,36,Male, Black (NH),FL,12
1,1,0,0,24,Male, White (NH),MI,9
2,0,0,0,42,Male, Hispanic,FL,5
2,0,0,0,32,Female, White (NH),FL,9
2,2,0,2,37,Female, White (NH),OH,12
2,1,0,0,38,Male, Black (NH),PA,12
2,0,0,0,37,Male, Hispanic,PR,12
2,0,0,0,43,Male, Black (NH),WA,9
2,1,1,1,70,Male, 2+ Races (NH),VA,9
2,0,0,0,60,Male, Hispanic,OH,10
1,2,2,2,62,Male, White (NH),CA,11
2,2,0,2,54,Male, Asian/Native Hawaiian/Other Pacific Islander (NH),HI,12
1,0,0,0,37,Male, Black (NH),MI,10
1,1,0,0,34,Male, Black (NH),SC,12
0,0,0,0,27,Male, Hispanic,VA,5
1,1,0,0,37,Male, Black (NH),PA,8
1,0,0,0,36,Male, Black (NH),IL,12
2,0,0,0,44,Male, White (NH),NY,12
1,0,0,0,47,Male, Asian/Native Hawaiian/Other Pacific Islander (NH),GA,12
1,2,0,1,32,Male, Black (NH),GA,12
2,0,0,0,44,Male, White (NH),IL,13
0,0,0,0,35,Male, Hispanic,TX,6
2,1,2,2,26,Male, Hispanic,CA,9
2,0,0,0,34,Male, Hispanic,AR,10
2,1,2,1,22,Female, White (NH),PA,10
1,1,0,0,42,Male, Hispanic,PA,6
0,0,0,0,37,Male, Black (NH),MO,8
1,2,0,1,36,Male, Hispanic,TX,11
1,0,0,0,53,Male, White (NH),TX,10
1,1,0,2,30,Male, White (NH),TX,8
2,0,0,0,24,Male, Hispanic,TX,12
2,0,0,0,23,Male, Black (NH),FL,10
2,0,0,0,55,Male, 2+ Races (NH),MI,14
0,0,0,0,45,Male, Black (NH),CA,0
0,0,0,0,30,Male, White (NH),MO,10
0,0,0,0,42,Male, Hispanic,TX,11
2,0,0,0,21,Female, Black (NH),IL,13
1,0,0,0,56,Male, White (NH),CA,10
2,2,2,2,49,Male, White (NH),FL,13
1,2,0,2,35,Female, 2+ Races (NH),DC,18
1,0,0,0,41,Male, 2+ Races (NH),TX,12
2,2,2,2,35,Female, Hispanic,NV,7
2,2,1,2,22,Female, White (NH),AZ,13
2,2,0,0,33,Female, White (NH),IN,12
1,2,0,2,44,Male, 2+ Races (NH),CA,11
2,1,2,2,63,Male, White (NH),MI,10
2,2,1,2,25,Male, White (NH),CA,13
2,1,0,2,34,Male, Black (NH),TX,8
1,0,0,0,40,Male, Hispanic,FL,14
2,0,0,0,32,Female, 2+ Races (NH),HI,12
2,1,0,0,27,Female, White (NH),OR,12
1,2,0,2,45,Female, White (NH),TX,16
2,0,0,0,31,Male, Hispanic,TX,5
1,0,0,0,45,Female, White (NH),MS,14
2,0,0,0,49,Female, White (NH),MS,5
1,0,0,0,41,Male, Uncategorized - Missing,CA,13
2,1,0,1,22,Male, Hispanic,FL,7
2,0,0,0,52,Male, White (NH),CA,9
2,0,0,0,57,Male, Hispanic,-1,4
