Alcohol,Alcohol_12months,Alcohol_ever,Marijuana,Marijuana_30days,Marijuana_12months,Marijuana_ever,Heroin,Heroin_30days,Heroin_12months,Heroin_ever,Cocaine,Cocaine_30days,Cocaine_12months,Cocaine_ever,Age,Sex,Race,State,time_of_use,drug_type,num_drugs,Age_group
2,2,1,2,1,0,1,2,2,0,1,2,2,0,1,32,Male, Hispanic,WA,Past 30 days,"('Marijuana',)",Marijuana,25-34
1,1,1,0,2,2,1,0,0,0,2,0,2,2,1,53,Male, White (NH),AK,Time of Arrest,"('Alcohol',)",Alcohol,45-54
1,1,1,0,2,2,1,0,0,0,2,0,2,2,1,51,Female, Hispanic,OK,Time of Arrest,"('Alcohol',)",Alcohol,45-54
2,0,1,0,1,2,1,0,0,0,2,0,0,0,2,47,Male, Black (NH),TX,Past 30 days,"('Marijuana',)",Marijuana,45-54
0,0,2,2,1,0,1,0,0,0,2,0,0,0,2,26,Male, Black (NH),TX,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,2,2,1,1,1,1,1,1,0,0,0,2,18,Male, White (NH),MO,Time of Arrest,"('Heroin',)",Heroin,<18
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,24,Male, Black (NH),TX,Time of Arrest,"('Marijuana',)",Marijuana,18-24
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,21,Male, 2+ Races (NH),IL,Time of Arrest,"('Marijuana',)",Marijuana,18-24
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,53,Male, Black (NH),MS,Never used,(),No use,45-54
1,1,1,0,0,0,2,0,0,0,2,0,0,0,2,24,Male, White (NH),IL,Time of Arrest,"('Alcohol',)",Alcohol,18-24
1,2,1,1,2,2,1,0,0,0,2,2,2,2,1,49,Male, White (NH),MO,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,45-54
1,0,1,0,2,0,1,0,0,0,2,0,0,0,2,48,Male, American Indian/Alaska Native (NH),SD,Time of Arrest,"('Alcohol',)",Alcohol,45-54
1,1,1,1,1,1,1,0,0,0,2,1,1,1,1,31,Female, Hispanic,CA,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,0,1,2,2,2,1,0,0,0,2,2,2,2,1,38,Female, Hispanic,NV,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,35-44
1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,34,Male, White (NH),MO,Time of Arrest,"('Alcohol',)",Alcohol,25-34
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,38,Male, Hispanic,CA,More than a year ago,"('Alcohol',)",Alcohol,35-44
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,38,Female, White (NH),FL,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,28,Female, 2+ Races (NH),KS,Past 30 days,"('Marijuana',)",Marijuana,25-34
1,2,1,1,2,0,1,0,0,0,2,0,0,0,2,28,Male, Black (NH),AR,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,2,2,2,1,0,0,0,2,0,0,0,2,40,Male, White (NH),TX,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,41,Male, White (NH),VT,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,1,1,2,1,2,1,0,0,0,2,2,1,2,1,40,Female, White (NH),NC,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,35-44
0,0,2,0,2,2,1,0,0,0,2,0,0,0,2,46,Male, Hispanic,IL,More than a year ago,"('Marijuana',)",Marijuana,45-54
2,0,1,2,1,0,1,0,0,0,2,2,2,0,1,47,Male, American Indian/Alaska Native (NH),CA,Past 30 days,"('Marijuana',)",Marijuana,45-54
2,2,1,0,2,2,1,0,0,0,2,0,2,1,1,54,Male, White (NH),TX,Past 12 months,"('Cocaine',)",Cocaine,45-54
2,2,1,0,2,0,1,0,0,0,2,0,2,0,1,33,Male, 2+ Races (NH),OR,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,28,Male, White (NH),FL,Past 30 days,"('Marijuana',)",Marijuana,25-34
1,0,1,0,2,2,1,0,0,0,2,0,0,0,2,23,Male, White (NH),MO,Time of Arrest,"('Alcohol',)",Alcohol,18-24
1,1,1,0,1,1,1,0,0,0,2,0,2,1,1,26,Female, Hispanic,TX,Time of Arrest,"('Alcohol',)",Alcohol,25-34
2,2,1,0,2,0,1,0,0,0,2,0,0,0,2,70,Male, White (NH),FL,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,64+
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,38,Female, 2+ Races (NH),TX,Past 30 days,"('Marijuana',)",Marijuana,35-44
0,0,2,0,2,2,1,0,0,0,2,0,0,0,2,47,Female, Black (NH),MI,More than a year ago,"('Marijuana',)",Marijuana,45-54
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,43,Male, Black (NH),-1,Never used,(),No use,35-44
2,2,1,0,1,1,1,0,0,0,2,0,1,1,1,36,Male, Uncategorized - Missing,TX,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,35-44
2,2,1,2,2,0,1,0,0,0,2,2,2,0,1,39,Male, White (NH),OR,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,35-44
1,0,1,1,1,1,1,0,0,0,2,2,2,2,1,20,Male, White (NH),MA,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,18-24
2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,68,Male, Black (NH),NY,Past 30 days,"('Marijuana', 'Heroin', 'Cocaine')",More than one drugs,64+
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,37,Male, Hispanic,TX,More than a year ago,"('Alcohol',)",Alcohol,35-44
2,1,1,0,2,1,1,0,0,0,2,0,0,0,2,31,Male, Black (NH),MO,Past 12 months,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,48,Male, White (NH),MS,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,45-54
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,46,Male, White (NH),NC,More than a year ago,"('Alcohol',)",Alcohol,45-54
1,2,1,1,1,1,1,0,0,0,2,2,2,2,1,21,Female, White (NH),NE,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,18-24
2,0,1,0,2,2,1,0,2,2,1,0,2,2,1,66,Male, Hispanic,TX,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,64+
1,1,1,2,2,2,1,0,0,0,2,2,2,2,1,37,Female, White (NH),MS,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,0,1,2,1,1,1,2,2,2,1,2,2,2,1,32,Male, 2+ Races (NH),OH,Past 30 days,"('Marijuana',)",Marijuana,25-34
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,48,Male, 2+ Races (NH),MI,Never used,(),No use,45-54
1,1,1,1,1,1,1,0,0,0,2,0,0,0,2,41,Male, Black (NH),IL,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,35-44
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,33,Male, Hispanic,CA,Never used,(),No use,25-34
1,1,1,1,1,0,1,0,0,0,2,0,0,0,2,36,Male, Black (NH),IL,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,1,1,0,2,1,1,0,0,0,2,0,0,0,2,42,Male, Hispanic,NY,Past 12 months,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,2,1,0,0,0,2,0,0,0,2,0,0,0,2,28,Female, Hispanic,CA,More than a year ago,"('Alcohol',)",Alcohol,25-34
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,24,Male, Black (NH),MI,Never used,(),No use,18-24
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,29,Male, White (NH),FL,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,40,Female, Hispanic,WA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,0,1,1,1,0,1,0,0,0,2,0,0,0,2,25,Male, Black (NH),CA,Time of Arrest,"('Marijuana',)",Marijuana,25-34
1,2,1,0,2,1,1,0,0,0,2,0,0,0,2,36,Male, Hispanic,TX,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,25,Male, Black (NH),NC,Past 30 days,"('Marijuana',)",Marijuana,25-34
0,0,2,0,2,2,1,0,0,0,2,0,2,2,1,44,Male, Hispanic,TX,More than a year ago,"('Marijuana', 'Cocaine')",More than one drugs,35-44
2,2,1,0,1,1,1,0,0,0,2,0,2,2,1,50,Male, Hispanic,TX,Past 30 days,"('Marijuana',)",Marijuana,45-54
0,0,2,1,1,1,1,0,0,0,2,0,0,0,2,33,Male, Black (NH),TX,Time of Arrest,"('Marijuana',)",Marijuana,25-34
0,0,2,0,2,2,1,0,0,0,2,0,0,0,2,49,Female, 2+ Races (NH),TN,More than a year ago,"('Marijuana',)",Marijuana,45-54
2,1,1,0,1,1,1,0,0,0,2,0,1,1,1,25,Male, Hispanic,-1,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,25-34
1,1,1,0,2,2,1,0,0,0,2,0,2,2,1,47,Male, White (NH),NY,Time of Arrest,"('Alcohol',)",Alcohol,45-54
1,1,1,0,1,0,1,0,0,0,2,0,0,0,2,41,Male, Black (NH),VA,Time of Arrest,"('Alcohol',)",Alcohol,35-44
1,1,1,1,1,1,1,0,0,0,2,1,2,1,1,26,Male, American Indian/Alaska Native (NH),IL,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,53,Male, White (NH),PA,Past 30 days,"('Marijuana',)",Marijuana,45-54
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,44,Male, Hispanic,CA,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,0,1,2,2,2,1,0,0,0,2,0,0,0,2,32,Female, Hispanic,CT,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,0,1,0,1,0,2,0,1,0,2,0,1,27,Female, White (NH),IN,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,1,1,0,1,1,1,0,1,1,1,0,2,2,1,24,Male, Hispanic,TX,Past 30 days,"('Marijuana', 'Heroin')",More than one drugs,18-24
0,0,2,0,1,2,1,0,0,0,2,0,0,0,2,30,Female, Black (NH),TX,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,44,Male, White (NH),MO,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,0,1,1,1,0,1,0,0,0,2,2,2,0,1,26,Male, Hispanic,FL,Time of Arrest,"('Marijuana',)",Marijuana,25-34
1,0,1,1,1,0,1,0,0,0,2,2,2,0,1,34,Male, Black (NH),AL,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,51,Male, Hispanic,NM,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,40,Male, Black (NH),MO,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,78,Male, Black (NH),FL,More than a year ago,"('Alcohol',)",Alcohol,64+
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,44,Male, White (NH),CO,More than a year ago,"('Alcohol',)",Alcohol,35-44
2,2,1,0,1,1,1,0,0,0,2,0,2,2,1,50,Male, Black (NH),FL,Past 30 days,"('Marijuana',)",Marijuana,45-54
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,23,Male, 2+ Races (NH),MI,Never used,(),No use,18-24
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,49,Female, American Indian/Alaska Native (NH),FL,More than a year ago,"('Alcohol',)",Alcohol,45-54
1,0,1,1,1,1,1,0,0,0,2,1,1,1,1,36,Male, 2+ Races (NH),NC,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,35-44
2,0,1,0,2,1,1,0,0,0,2,0,0,0,2,23,Male, Hispanic,MI,Past 12 months,"('Marijuana',)",Marijuana,18-24
2,0,1,1,1,0,1,0,0,0,2,2,1,0,1,42,Male, White (NH),MS,Time of Arrest,"('Marijuana',)",Marijuana,35-44
2,0,1,2,2,0,1,2,2,0,1,2,2,0,1,43,Male, White (NH),GA,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,35-44
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,56,Male, White (NH),NC,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,55-64
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,39,Female, White (NH),OH,Never used,(),No use,35-44
1,0,1,0,2,2,1,0,0,0,2,0,0,0,2,37,Male, Black (NH),TX,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,2,1,0,2,2,1,0,0,0,2,0,0,0,2,24,Female, White (NH),AR,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,18-24
1,1,1,0,2,1,1,0,0,0,2,0,0,0,2,55,Male, 2+ Races (NH),MO,Time of Arrest,"('Alcohol',)",Alcohol,55-64
1,1,1,0,2,2,1,0,0,0,2,0,0,0,2,23,Male, Black (NH),FL,Time of Arrest,"('Alcohol',)",Alcohol,18-24
2,2,1,1,1,1,1,0,0,0,2,2,2,2,1,29,Male, White (NH),OK,Time of Arrest,"('Marijuana',)",Marijuana,25-34
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,32,Male, White (NH),TX,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
1,0,1,0,0,0,2,0,0,0,2,0,0,0,2,52,Male, White (NH),WI,Time of Arrest,"('Alcohol',)",Alcohol,45-54
2,0,1,2,2,2,1,0,0,0,2,0,0,0,2,36,Female, White (NH),KY,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
1,0,1,1,1,0,1,2,1,0,1,1,1,0,1,42,Male, Black (NH),MD,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,35-44
2,1,1,0,1,1,1,0,2,2,1,0,2,2,1,30,Male, 2+ Races (NH),TX,Past 30 days,"('Marijuana',)",Marijuana,25-34
1,2,1,0,2,0,1,0,2,0,1,0,2,0,1,46,Male, Asian/Native Hawaiian/Other Pacific Islander (NH),LA,Time of Arrest,"('Alcohol',)",Alcohol,45-54
2,0,1,0,1,2,1,0,0,0,2,0,0,0,2,22,Male, Black (NH),CA,Past 30 days,"('Marijuana',)",Marijuana,18-24
2,0,1,2,2,0,1,0,0,0,2,2,2,0,1,51,Male, 2+ Races (NH),WV,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,39,Female, 2+ Races (NH),VA,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,35-44
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,40,Male, Hispanic,PA,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,0,1,2,1,1,1,0,0,0,2,1,1,1,1,45,Male, Black (NH),OH,Time of Arrest,"('Cocaine',)",Cocaine,45-54
1,1,1,1,1,0,1,0,0,0,2,1,1,0,1,32,Male, Hispanic,CA,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,0,1,0,2,2,1,0,2,2,1,0,2,2,1,37,Male, White (NH),GA,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,49,Male, Hispanic,FL,More than a year ago,"('Alcohol',)",Alcohol,45-54
1,0,1,2,1,0,1,0,0,0,2,1,2,0,1,37,Male, Black (NH),AL,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,35-44
2,1,1,0,1,1,1,0,2,1,1,0,1,1,1,49,Male, 2+ Races (NH),MI,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,45-54
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,Male, White (NH),OK,Never used,(),No use,45-54
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,32,Male, Hispanic,-1,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
1,2,1,1,1,1,1,0,0,0,2,0,0,0,2,20,Male, Black (NH),IL,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,18-24
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,50,Male, Black (NH),TX,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,45-54
2,0,1,2,2,2,1,0,0,0,2,2,2,2,1,30,Female, White (NH),WA,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,24,Male, Black (NH),MO,Time of Arrest,"('Marijuana',)",Marijuana,18-24
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,52,Male, White (NH),NY,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,45-54
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,42,Male, 2+ Races (NH),AR,Never used,(),No use,35-44
2,2,1,1,1,0,1,0,0,0,2,0,0,0,2,20,Male, Black (NH),AL,Time of Arrest,"('Marijuana',)",Marijuana,18-24
2,0,1,2,2,2,1,2,2,2,1,2,2,2,1,29,Female, 2+ Races (NH),WV,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,25-34
1,1,1,2,2,2,1,0,0,0,2,1,1,1,1,35,Male, White (NH),NC,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,35-44
2,0,1,0,2,0,1,0,1,0,1,0,2,0,1,36,Female, White (NH),MN,Past 30 days,"('Heroin',)",Heroin,35-44
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,62,Male, White (NH),OK,Past 30 days,"('Marijuana',)",Marijuana,55-64
1,1,1,0,2,1,1,0,0,0,2,0,2,1,1,30,Male, Uncategorized - Missing,NC,Time of Arrest,"('Alcohol',)",Alcohol,25-34
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,28,Male, Black (NH),GA,Time of Arrest,"('Marijuana',)",Marijuana,25-34
1,0,1,1,1,1,1,2,1,1,1,2,2,1,1,45,Male, White (NH),CA,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,45-54
2,2,1,2,1,0,1,2,2,0,1,2,1,0,1,33,Male, White (NH),PA,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,25-34
2,2,1,0,1,1,1,0,0,0,2,0,0,0,2,39,Male, Black (NH),OH,Past 30 days,"('Marijuana',)",Marijuana,35-44
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,23,Male, Hispanic,NY,Never used,(),No use,18-24
2,0,1,0,1,2,1,0,0,0,2,0,2,2,1,54,Female, White (NH),OK,Past 30 days,"('Marijuana',)",Marijuana,45-54
2,0,1,0,2,2,1,0,2,2,1,0,2,2,1,61,Male, 2+ Races (NH),SC,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,55-64
0,0,2,2,2,0,1,0,0,0,2,0,0,0,2,48,Male, 2+ Races (NH),NY,More than a year ago,"('Marijuana',)",Marijuana,45-54
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,27,Male, Black (NH),GA,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,1,1,0,2,2,1,0,0,0,2,0,0,0,2,32,Male, White (NH),OK,Past 12 months,"('Alcohol',)",Alcohol,25-34
0,0,2,2,2,0,1,2,2,0,1,2,2,0,1,34,Male, White (NH),TX,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine')",More than one drugs,25-34
1,2,1,1,1,0,1,0,0,0,2,0,0,0,2,38,Male, Black (NH),GA,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,0,1,2,2,2,1,2,1,1,1,1,1,2,1,39,Male, Hispanic,NM,Time of Arrest,"('Cocaine',)",Cocaine,35-44
1,0,1,0,2,2,1,0,0,0,2,0,0,0,2,48,Female, White (NH),PA,Time of Arrest,"('Alcohol',)",Alcohol,45-54
1,1,1,1,1,0,1,0,0,0,2,0,0,0,2,38,Female, White (NH),KY,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,35-44
1,2,1,1,1,1,1,0,0,0,2,0,0,0,2,32,Male, 2+ Races (NH),OH,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,54,Male, Asian/Native Hawaiian/Other Pacific Islander (NH),NV,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,66,Male, Hispanic,-1,More than a year ago,"('Alcohol',)",Alcohol,64+
2,1,1,0,1,1,1,0,0,0,2,0,0,0,2,23,Male, White (NH),OH,Past 30 days,"('Marijuana',)",Marijuana,18-24
2,2,1,0,1,1,1,0,0,0,2,0,1,1,1,37,Male, 2+ Races (NH),MD,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,35-44
2,2,1,2,2,1,1,0,0,0,2,2,2,2,1,40,Male, White (NH),TX,Past 12 months,"('Marijuana',)",Marijuana,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,72,Male, White (NH),AZ,More than a year ago,"('Alcohol',)",Alcohol,64+
1,0,1,0,2,0,1,0,0,0,2,0,0,0,2,54,Male, White (NH),WA,Time of Arrest,"('Alcohol',)",Alcohol,45-54
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,42,Male, White (NH),TN,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,1,1,0,1,1,1,0,0,0,2,0,2,2,1,37,Male, Black (NH),GA,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,0,1,2,1,1,1,0,0,0,2,2,2,1,1,27,Male, White (NH),OK,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,37,Male, Hispanic,PA,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,2,1,0,2,2,1,0,0,0,2,0,2,2,1,48,Male, Hispanic,NV,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
1,1,1,1,1,1,1,0,0,0,2,0,0,0,2,55,Female, White (NH),MD,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,55-64
2,0,1,1,1,1,1,1,1,1,1,2,2,2,1,26,Female, White (NH),NV,Time of Arrest,"('Marijuana', 'Heroin')",More than one drugs,25-34
2,0,1,0,1,0,1,0,0,0,2,0,2,0,1,37,Male, 2+ Races (NH),OR,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,22,Male, Black (NH),FL,Past 30 days,"('Marijuana',)",Marijuana,18-24
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,30,Male, Hispanic,TX,Never used,(),No use,25-34
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,39,Male, Hispanic,GA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,57,Male, 2+ Races (NH),TX,Time of Arrest,"('Marijuana',)",Marijuana,55-64
1,2,1,1,1,0,1,0,0,0,2,0,0,0,2,33,Male, 2+ Races (NH),NY,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
0,0,2,2,2,2,1,2,2,2,1,2,2,2,1,44,Male, White (NH),TN,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine')",More than one drugs,35-44
2,2,1,1,1,1,1,0,0,0,2,2,2,2,1,21,Male, Hispanic,AZ,Time of Arrest,"('Marijuana',)",Marijuana,18-24
1,1,1,0,2,2,1,0,0,0,2,0,2,1,1,44,Male, White (NH),PA,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,40,Male, Black (NH),TN,Past 30 days,"('Cocaine',)",Cocaine,35-44
-1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,23,Male, White (NH),TX,Past 30 days,"('Marijuana',)",Marijuana,18-24
2,1,1,1,1,0,1,0,0,0,2,2,2,0,1,29,Male, 2+ Races (NH),AL,Time of Arrest,"('Marijuana',)",Marijuana,25-34
2,2,1,0,0,0,2,0,0,0,2,0,0,0,2,33,Male, Hispanic,CA,More than a year ago,"('Alcohol',)",Alcohol,25-34
1,1,1,1,1,0,1,2,2,0,1,1,1,0,1,36,Male, White (NH),NY,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,35-44
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,46,Male, Hispanic,TX,Never used,(),No use,45-54
1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,26,Male, White (NH),CA,Time of Arrest,"('Alcohol',)",Alcohol,25-34
